time,active_players
2020-01-01,50.61016139321519
2020-01-02,56.52295808561672
2020-01-03,54.30254252653663
2020-01-04,56.144902581733554
2020-01-05,58.026778902687774
2020-01-06,56.22561259999061
2020-01-07,59.27131516683814
2020-01-08,55.66942436137151
2020-01-09,61.56862849067203
2020-01-10,58.61122871530135
2020-01-11,61.946239034387084
2020-01-12,53.45275900217985
2020-01-13,58.50539586067036
2020-01-14,53.11766782960129
2020-01-15,51.7630265907534
2020-01-16,47.13629733274032
2020-01-17,45.43144343727573
2020-01-18,48.16791286070479
2020-01-19,47.01542204101434
2020-01-20,47.06475268053348
2020-01-21,42.084087701737005
2020-01-22,38.30178371301118
2020-01-23,41.93530418126
2020-01-24,38.932173585328734
2020-01-25,39.81421333425192
2020-01-26,41.51152924396144
2020-01-27,44.11479591950545
2020-01-28,47.29986953478887
2020-01-29,46.09713628152695
2020-01-30,45.65636670038681
2020-01-31,51.4702322067898
2020-02-01,53.884891179988706
2020-02-02,52.33164184146228
2020-02-03,55.058253751199466
2020-02-04,60.319176942500164
2020-02-05,57.90730835358258
2020-02-06,62.85022638091556
2020-02-07,59.63650903787493
2020-02-08,62.02889706181383
2020-02-09,54.92813506425437
2020-02-10,59.41347550441033
2020-02-11,64.26237247559698
2020-02-12,56.283023365859286
2020-02-13,57.82984305350989
2020-02-14,53.372170227975595
2020-02-15,51.67709680627118
2020-02-16,51.009911743258385
2020-02-17,47.89361576102619
2020-02-18,43.53908110592411
2020-02-19,43.438798365124
2020-02-20,40.099104784533374
2020-02-21,39.502476599463186
2020-02-22,44.95057599912164
2020-02-23,39.105714572475456
2020-02-24,38.027490905850826
2020-02-25,43.092549746752695
2020-02-26,44.35909225848598
2020-02-27,42.51010207698078
2020-02-28,47.261609982029654
2020-02-29,50.243381449058475
2020-03-01,48.15424734166849
2020-03-02,53.1067366481106
2020-03-03,56.11954870369551
2020-03-04,60.836525825675615
2020-03-05,57.794327895558816
2020-03-06,56.29189708078465
2020-03-07,58.282739242381254
2020-03-08,60.84449378456402
2020-03-09,62.17745271589664
2020-03-10,62.33500924569439
2020-03-11,58.54150402755268
2020-03-12,57.49500017385842
2020-03-13,55.59727047415601
2020-03-14,53.030557983547986
2020-03-15,49.24456432448397
2020-03-16,48.11617326004787
2020-03-17,48.19590044843643
2020-03-18,50.11653203365102
2020-03-19,46.729673086460025
2020-03-20,39.665164841132885
2020-03-21,38.19876207688957
2020-03-22,39.98607084806956
2020-03-23,40.60069443811357
2020-03-24,39.15033124079063
2020-03-25,38.13638437888263
2020-03-26,43.08915299711118
2020-03-27,42.60481959406384
2020-03-28,40.26893501140588
2020-03-29,45.28791072558783
2020-03-30,48.96540532237481
2020-03-31,54.9538542026292
2020-04-01,49.69470998866561
2020-04-02,54.64825575011596
2020-04-03,55.162491000674066
2020-04-04,59.09833036805695
2020-04-05,61.01973699663755
2020-04-06,62.03079721538852
2020-04-07,60.00517873850636
2020-04-08,61.33474205245357
2020-04-09,62.00285056199402
2020-04-10,58.647600019920795
2020-04-11,56.03086924868058
2020-04-12,57.7936374597167
2020-04-13,50.65129307514042
2020-04-14,52.70052475495751
2020-04-15,51.39608866655397
2020-04-16,46.33237480201422
2020-04-17,46.26464039916927
2020-04-18,43.77300527686046
2020-04-19,41.690682370467655
2020-04-20,41.14850006074471
2020-04-21,45.196159637190746
2020-04-22,37.496951978510175
2020-04-23,38.117146216503414
2020-04-24,37.429281349876405
2020-04-25,40.98533825958499
2020-04-26,43.10533689630611
2020-04-27,42.85485392489993
2020-04-28,49.45603452578468
2020-04-29,44.305708908358504
2020-04-30,46.60565492063295
2020-05-01,53.25464253387694
2020-05-02,51.48749554763215
2020-05-03,54.435672841461084
2020-05-04,60.85976734622665
2020-05-05,59.63939516297304
2020-05-06,57.050390872500046
2020-05-07,57.99173060392955
2020-05-08,60.010059358303835
2020-05-09,59.139096530075136
2020-05-10,54.75914904706167
2020-05-11,55.83587305813082
2020-05-12,54.37381050460375
2020-05-13,53.64365331671782
2020-05-14,51.94036312165419
2020-05-15,52.21045571552379
2020-05-16,46.263001827906514
2020-05-17,46.66860810714502
2020-05-18,41.886296855648915
2020-05-19,42.896367671068894
2020-05-20,37.135535197957026
2020-05-21,39.6901721993862
2020-05-22,38.61907606778629
2020-05-23,41.163079144112025
2020-05-24,40.808796340819015
2020-05-25,41.03752747639736
2020-05-26,41.78002783325243
2020-05-27,46.03278386520987
2020-05-28,42.59015119258468
2020-05-29,50.42702027629272
2020-05-30,51.12000047819396
2020-05-31,53.69004103584044
2020-06-01,55.733596508838914
2020-06-02,56.574482630677274
2020-06-03,56.65255169996888
2020-06-04,60.72121773013923
2020-06-05,60.84707294615571
2020-06-06,57.17832708325911
2020-06-07,59.17343536025613
2020-06-08,60.667794187660675
2020-06-09,58.18828882633635
2020-06-10,54.55347334933748
2020-06-11,54.92944768302314
2020-06-12,53.19117347643129
2020-06-13,52.23214201614495
2020-06-14,52.83912179708507
2020-06-15,46.578433326975684
2020-06-16,43.16226929731334
2020-06-17,47.3464271766657
2020-06-18,37.552282991066605
2020-06-19,44.81733051141187
2020-06-20,42.05579491012618
2020-06-21,41.6405486195914
2020-06-22,41.80639064723845
2020-06-23,40.31039599132899
2020-06-24,40.608028841628084
2020-06-25,40.829395248396445
2020-06-26,44.67677529263275
2020-06-27,46.12412117689494
2020-06-28,47.276055418363796
2020-06-29,50.54337601734133
2020-06-30,49.11266579091387
2020-07-01,56.426481161213715
2020-07-02,55.219459344828515
2020-07-03,58.58454321889024
2020-07-04,58.217235409682765
2020-07-05,62.127054122063356
2020-07-06,58.37757890196607
2020-07-07,60.32709477367189
2020-07-08,58.84024014777168
2020-07-09,58.33698158101338
2020-07-10,56.68774577173945
2020-07-11,51.65370855062031
2020-07-12,51.95026859610999
2020-07-13,52.45125962595636
2020-07-14,49.274741848516484
2020-07-15,48.94698588568113
2020-07-16,46.895939988362954
2020-07-17,42.867549316269844
2020-07-18,42.58388273258697
